Run,Iteration,dim-0,dim-1,dim-2,dim-3,dim-4,dim-5,dim-6,dim-7,dim-8,dim-9,dim-10,dim-11,dim-12,dim-13,dim-14,dim-15,dim-16,dim-17,dim-18,dim-19,dim-20,dim-21,dim-22,dim-23,dim-24,dim-25,dim-26,dim-27,dim-28,dim-29,dim-30,dim-31,dim-32,dim-33,dim-34,dim-35,dim-36,dim-37,dim-38,dim-39,dim-40,dim-41,dim-42,dim-43,dim-44,dim-45,dim-46,dim-47,dim-48,dim-49,dim-50,dim-51,dim-52,dim-53,dim-54,dim-55,dim-56,dim-57,dim-58,dim-59,dim-60,dim-61,dim-62,dim-63,dim-64,dim-65,dim-66,dim-67,dim-68,dim-69,dim-70,dim-71,dim-72,dim-73,dim-74,dim-75,dim-76,dim-77,dim-78,dim-79,dim-80,dim-81,dim-82,dim-83,dim-84,dim-85,dim-86,dim-87,dim-88,dim-89,dim-90,dim-91,dim-92,dim-93,dim-94,dim-95,dim-96,dim-97,dim-98,dim-99,dim-100,dim-101,dim-102,dim-103,dim-104,dim-105,dim-106,dim-107,dim-108,dim-109,dim-110,dim-111,dim-112,dim-113,dim-114,dim-115,dim-116,dim-117,dim-118,dim-119,dim-120,dim-121,dim-122,dim-123,dim-124,dim-125,dim-126,dim-127,dim-128,dim-129,dim-130,dim-131,dim-132,dim-133,dim-134,dim-135,dim-136,dim-137,dim-138,dim-139,dim-140,dim-141,dim-142,dim-143
-1,-1,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0
0,0,278.4101379187079,277.72773481127194,280.26772022299076,273.20328625219906,278.60330660870824,276.6093016007053,282.18550876376054,281.2257108195376,275.1701690298556,278.62720345701604,275.3403307746925,277.35000073290286,275.3869737847434,271.69503485031333,276.1620354891819,273.12452459373327,272.02233992896595,273.6349477158789,273.12477093368165,271.6032575435569,272.6690468367444,274.2315356838192,274.5806556131254,271.407003661009,271.63560175370657,271.06159413325923,273.99816211785554,270.08807104739446,270.161755160715,271.7698992818586,277.37736828171745,278.347516368749,276.61133755964426,270.04623778886594,276.2237044786959,269.8232462929956,272.1112063225256,268.6933884062299,275.3195014696154,271.3034517814113,273.5310686677493,275.4564604907336,275.78965186359613,276.12981265930296,281.71081834842823,278.7451653534295,285.59565778122004,285.3361268585503,285.40099398017446,283.5559053524478,271.7528310573188,283.3027919301142,281.8025613112412,279.1025746306059,273.7443034265457,275.7701286809277,283.2778270972967,283.1823768213156,280.90175775484283,276.3338118799327,278.5659244916687,283.0912195300292,278.62791164527164,284.8147686358183,277.29449741719037,278.58709780024435,278.52997731454326,277.0500409735161,276.4670825761118,276.4316631859877,276.129428050599,275.092634678691,272.7857652190901,276.6691638465875,272.93532725991486,273.67566780801405,275.19953853973203,276.6567608320594,273.9149580944598,272.85785729830883,275.9175642963981,271.27917417858123,275.396447691167,276.67124635915127,275.28940722744375,274.0347954376802,282.20600509162267,281.19053674294406,279.04064879243657,273.5949887353233,280.10133526207227,272.79349271166353,273.302937740317,274.00125400060665,270.8734628900191,276.7315976908239,281.44881640186185,281.6083357453257,277.0883189174244,281.7856121467002,283.9380321482099,285.70121903343716,290.21318163865953,287.7787836308473,284.87040181310664,281.61386586696574,276.2455576823507,285.6673161845033,287.34484810477494,283.3071678997615,276.90599488078703,280.33565974313973,284.94815039805667,281.51994638006727,283.29392119196365,281.5973486391345,281.2471816038217,283.39849863206604,285.3870007432746,280.2569310719656,277.84950936607316,281.1662569539724,278.391664816225,278.8445912540729,279.0208515400465,278.7689663250606,277.9371893325181,273.5821875481363,278.6084741078924,277.40938622201367,276.668000221099,280.91162046593297,277.8380103553654,276.13055665354057,275.482158577466,278.8927944948387,273.16430686188517,278.8444805867438,276.03519831515456,277.67238912562397,275.9625098220066,278.7325890655676,278.2577443151481,280.44917202994077
0,1,275.49510395475414,274.95737866133703,278.4871961201384,274.1153280968374,278.1461729375447,278.46874516983297,276.6339156494229,278.197900601703,275.60667853876276,277.06021248303216,277.4770905646769,277.99471962647374,275.0786789434806,275.26843707665034,277.14526351327214,277.21504339371205,279.1477080950578,274.13113539225145,276.34345931689035,278.2507251972893,278.4916918998551,273.6832318461216,274.78292716221756,275.5424804288683,272.8543913652814,277.4524752418169,275.5813981253728,276.8404601523217,277.3451417189511,278.7873794668938,274.76187143829947,276.1031038760793,273.80173053504683,274.4229292824941,274.58577678588614,276.23602067282974,275.4141561684685,274.2597829192641,275.5890733704313,275.92462281407705,274.43043872426847,278.14971576259455,274.43519174426075,276.7444383688775,277.78807876017135,276.317650116254,277.1195867992621,275.4752899587257,279.3238130675284,279.7928931342556,276.19520095845127,277.0668997295972,274.94932848181895,278.37504376498725,278.89181306183565,277.0332809096043,278.2035624507936,282.8916638748931,274.2221149292812,276.80558025007616,277.56332929858866,278.95750047466373,277.4024824877733,279.3562122959405,281.0743864278627,276.07509161783787,277.55561619775614,277.79812307324573,276.9954225432486,277.85116767953286,278.92374948342007,278.6707392397664,276.29202323787393,283.28689265991005,276.78598969760503,278.26705324039693,272.58336068414786,281.87825154735157,274.0819782110021,276.769331852503,280.6247753855018,281.60139047474075,276.26392923911754,278.44431328901356,279.2543352951852,275.96019881697225,278.30241205978285,281.39808979430666,275.18046542143003,277.1016249422495,276.8600306492445,275.5988648601818,279.32712361175334,277.7428267264867,278.4672515742986,277.170705680026,278.40614218196197,276.7812872095587,277.1977732294654,277.82051801547055,279.021337801106,277.97560654132417,277.5130330711525,276.2712764298295,278.3614298452014,276.2691021228591,278.5641341595101,280.1347732562814,280.8779049232641,277.13656204421386,276.67197099210335,282.02978951219285,277.939894946343,280.6677972171536,282.5325240836908,278.85728520700536,278.11114691925195,279.499721810328,281.4607919399195,276.5072447098044,279.76948107138776,276.75962247733315,276.8505624795622,277.9355097855733,278.3815215383971,279.8584524922477,277.56719712242096,274.3659681937984,280.8315665104211,276.62453300053795,278.3488301900535,279.43534377475305,278.8994549666756,278.38334150870554,276.3362806399823,278.6247536951579,278.84723522447126,280.7714026253168,281.5310608992654,280.836518578821,281.9834818047251,276.1882625394506,278.5252093392654,277.6572828694666
0,2,276.4263732235066,276.9194386951345,278.49536650873824,274.92848497624595,278.63750669164375,278.0645977163516,278.8220784444399,279.33499549706636,275.62233091118327,277.3678488307734,277.0656359903635,276.5240494679946,275.7534198193838,275.30264371711274,277.7380579870433,275.65807405746733,275.1682599545557,275.79000941289837,276.32598452646147,275.8916007183685,276.4546882761764,276.2450408949842,274.4794204447033,274.7357877357711,274.0258316002697,276.0297313783916,278.39676877031616,276.8032157220435,274.9109125060381,275.8062715302034,275.18554068955353,277.378010636174,274.73518321518407,274.02945102310144,276.2481884191894,275.3032158443761,273.46930100926284,274.75215000398595,275.35128349897997,275.70534932644483,275.6429966614494,278.7214477645479,275.6953882668702,277.5302562060989,277.26488020166965,277.25005776718507,279.1110879313353,279.20933755466376,282.1333540184464,278.50021275528144,275.5326943935062,279.72576918552573,277.3614355675794,278.0929088953736,277.84399329613717,277.14288385631164,279.69889170536584,283.0288180660439,276.7355457274575,278.2906441376311,276.4636788377398,278.698116434011,276.4677138795997,279.7296550463617,277.70525859989266,277.3845388262654,276.68905209192695,276.3612143885831,276.97981912685435,277.156501736413,277.81382991429916,277.53838050341705,276.8672225439393,279.9551360241678,275.5397516074897,276.0419666601785,274.6118789261472,278.23083374320646,276.37828853802927,274.97055207619076,278.81914474570004,278.79366244364326,276.923682980228,277.37181511276384,277.79509436525564,276.77108792676023,278.3230133322374,280.3667336267512,275.49432052550736,278.0266896701487,277.6114111578524,274.0085935577677,276.7367601232073,277.50372466636225,275.1892674419459,277.6395960999529,278.1201943726144,279.7831601044334,276.1156468183397,278.7895988703408,280.0196071834998,278.7451735951163,280.5703123926754,279.8823524626636,277.7716788900316,279.033817746435,276.87358159809907,281.01691114405395,281.3012555991254,278.5239335907883,276.5281147224308,279.3800548492011,278.84134328539375,280.9260102390743,280.2437181271194,278.9161135410211,278.8319662906335,280.10026665578545,280.51232981489284,277.3493820820174,281.18864299534897,278.19556294518475,277.3899927668815,278.24467341946735,279.40909660882636,278.5839351967698,278.4045686709932,275.5588015253542,282.2507352813481,276.33168773848416,277.702673799672,278.6386602429103,277.8471364238353,277.1451402295953,277.57356625456777,278.8177533937215,277.3337679621547,280.88226443024894,279.06558994261053,279.4598453640089,279.736430567022,277.93965644427897,277.9529467310079,278.09974089749437
0,3,278.22146521999775,275.95547617182433,277.4182244270227,274.6508823791158,277.3427661933404,278.18766009045413,275.80973766075033,276.87187929600844,276.1088468807649,276.5133810523856,278.4905779747925,277.8581308059046,276.0755470148291,276.70413647403575,275.4488165319876,277.67801202420395,276.6581516410559,278.1339891540975,277.5810771273711,275.8795583246882,276.0942835633337,275.6353285516034,274.48349149318454,276.05247099495006,276.01657660287304,276.4021648808079,276.60616303682,276.78823661862947,275.73606721285483,278.54606233863666,276.20674086018624,277.37474198024864,274.54222424525585,274.9114361705112,276.6882062034563,278.23990637760295,274.9355465861939,275.5251273619393,275.5186225703191,276.009410052987,277.9019199007892,277.431181817225,275.7048285609345,277.38896518973877,275.6161058681713,277.25470999106767,276.4695810222784,277.0352761478241,278.25471474639187,277.0332487522724,276.23525511788625,277.9368909212123,278.20077485831655,278.1334226697318,278.16813332032814,275.9175333699569,277.58143085410245,280.03577311187104,278.30081764957686,277.66182431757426,275.44457688011005,277.83987324895054,277.46720300851945,278.1933812538805,277.8437033999457,279.0183017098067,276.82824162861215,279.05080933820403,276.95551440203644,277.57994844006674,276.4600735914755,275.5802713351584,278.50168374456325,278.12029501044606,277.80125212717184,277.92476946445845,274.9701150797634,276.64415390561584,277.5031156490434,277.66265651883555,279.90043191971614,280.1870587124582,279.66852124845616,275.6864756239042,278.16292448397604,277.3964870462132,277.35932516396076,278.91780406405974,277.62623469846477,278.3032675119794,277.81838370022706,276.8392299790806,278.2495238071617,278.7565555844054,276.5925222235986,278.9900125182409,277.8512396488793,279.16911508571786,275.4985447794944,278.1014409074598,278.8275733859543,278.09554830687046,277.19315727933594,279.21069117982194,278.82328487999735,277.75139366460223,277.9139167154289,278.33574775497436,280.59572479502503,277.7819651537768,277.53214933645233,280.6603395818946,279.51029354425947,277.88639786845744,277.9269109789208,280.3760188701858,278.65290267632776,277.03713130388047,281.2949680683367,277.93441041916196,279.77333078536805,277.4012185104533,277.2636040772112,278.1276254645651,278.2650066916224,280.2942858328357,277.4599195742057,278.4060931283392,279.5160187292716,276.2023210271628,277.7192715770921,279.3483650316945,276.82902626827286,277.52981971334094,277.45635262495915,279.19079775381,279.3424964262155,279.0327297856357,278.89586403091323,280.8087620443587,278.74408545831284,277.81614890172654,278.1765472069241,277.71331753238496
0,4,277.6348925654982,276.155095945269,276.97949779660945,276.83159694520464,276.810933312956,278.90008647111273,276.5168687969933,276.95565904245217,277.41820654643345,275.94464371037407,277.59158812464204,277.3950258711411,276.46309153506564,276.15083768412467,276.4734817429837,276.72588165482824,276.7984309340521,277.29827016427276,276.6367551407782,276.7509848601593,275.61068868229404,276.4631140939365,276.49880042336855,276.3602993601577,276.645168812515,275.47529656840186,277.2050453214271,276.5855204179675,276.5479717635869,277.76442197208195,277.5765104175223,277.3983004079594,275.96416718548676,275.46113568975824,276.56133278114726,278.08267999107056,275.88584730443984,276.3526841015427,276.29586198347926,275.8917331256293,278.21354186487184,277.62310988277255,276.2685253576435,276.30059500301246,274.9995123500991,278.0942804837551,277.7580750570372,276.6415640004188,276.8320340680838,277.4333329163817,276.60281483464,278.7066993569444,277.9041877706558,277.8171999686681,278.1331798901394,276.77194324212024,277.13429050053225,279.27145708629155,277.8097667547116,278.7932726132296,277.03159910638453,278.64741005116184,278.3701897542872,277.34174994633196,277.34450008878576,276.8778024112187,277.3866879785096,278.55880418527613,277.29607509776304,278.0856128306419,277.6639204279534,275.75222748962625,277.7578706666496,277.088608937867,277.6678782419988,276.6138607443385,276.65144535289824,276.2383500015808,277.73630736062995,277.76609033748605,279.3372380952749,279.03433099893545,277.1412739381549,276.6702135433618,278.5777730744915,277.2808098117093,278.8726843949481,278.345222037891,277.6511087975852,277.5843388627589,278.34244326491876,276.1971638087219,277.98325830068984,279.08931302515737,276.6117120749277,278.63696818086606,277.9656256398211,278.3072969064159,277.76330676815127,276.9597667181493,278.5270827752313,278.96043312819234,278.8517930655145,278.300094048216,280.41321491915903,278.2050213538177,277.77361323116895,278.6971501199347,280.5244999063396,277.56429050887823,277.4760739109625,279.24303902241536,277.87668379961326,278.45929787857193,277.6618720641504,279.3450596943478,278.88237901060927,276.0218982145863,280.093390398847,277.9064340986418,278.76151701563515,277.7964721269965,277.76461774321905,276.99892144315317,277.89614334694863,278.7397615784342,276.31119010377626,279.4068354775264,277.75418804696386,277.2282636697083,278.21611550841664,279.6485373059054,276.4279261901421,278.1403170797381,277.2293405201669,279.2168326681858,279.1408947456975,278.47960421649964,278.6393229200108,279.9744441931989,278.3214636133213,278.2088897943122,277.83048630061154,277.9700464559153
0,5,276.96651395361675,276.20635380027875,276.78950932027163,276.9517656796247,277.80921773481884,277.7457007448027,275.9251640760585,277.68748139502867,277.4431700950091,276.60759123097097,276.7524764349063,277.5814110257934,277.23394055659696,276.21752386031415,277.28870914728014,276.61028371029334,277.0385190752712,276.70919997263235,277.1994158707002,276.8590092484617,276.10815561654306,275.9480984859877,276.45124083678166,277.31143052870243,276.67862152759824,276.5881309621069,277.2471312455803,277.3673176279783,277.4178677534654,277.704486509384,276.91424661510644,277.4465947748825,276.3620272124033,275.3314454398387,276.5996995797393,276.597950397274,276.2008585053627,276.9848293859883,276.32186484998994,276.4766112359719,277.63005809900153,278.6752460298724,275.2785187275748,276.4813356251821,274.4855840493954,277.6080537641923,277.0912190601312,276.62372201737526,276.9696582169191,277.1429016111246,277.0199554369006,278.2801386897416,277.1973106757432,277.3289565355491,278.02952574006815,276.9263288496579,278.1471669060492,280.2943032518405,277.930690336934,277.9966791588495,277.97106243520807,277.8113141590627,277.91339280320364,277.86881296228245,278.02707929251375,277.44143171747453,277.34134556616976,277.7044058148519,276.5512704709215,277.7216346481,277.1207847497439,275.73806149388867,278.3379528798241,277.26239811957464,277.34057127079444,277.45833036631177,276.09322525478217,276.2702417365417,277.62316771851596,277.1753369132106,278.2132477469326,279.2328585314116,277.54814774455843,277.1497200703054,278.2806669251584,276.97347113420216,277.5051353040976,277.55545356230374,276.6267823693731,277.406385525559,278.48101456811077,275.79574410065635,277.9327318229997,278.9452350750259,277.16276468856364,278.34712392801526,278.10957522729103,278.45667071056084,277.137873097707,278.37614329115837,278.0928496039771,278.23484815808143,278.21654198246034,278.3728219492701,278.9098032059517,277.56527785794805,277.9907730486933,277.9380339359259,280.1942813325872,277.5190309784322,277.6429769567392,278.3211071107762,279.33328774873536,278.52375874306586,277.9895632415818,278.7537603751452,278.2678757936187,276.42558059713747,280.842550976697,278.5804639261112,279.43462839628637,277.6265030346014,278.36653144545795,277.67394405050214,279.9265916276845,278.58018356930137,276.9438398390401,278.2993749110221,278.33684168849425,277.4095190987455,278.01963025594563,279.1004247530423,277.75618530075394,278.12197114375454,277.90897003116567,278.4775108378339,279.1860265923298,279.60643190627684,277.96385083086795,279.8969770134054,278.8192111809539,277.50332974670704,277.9589363118764,277.82199902726427
0,6,277.294032347782,276.2501217964405,277.3316716227112,276.0432632833927,277.63419234575184,277.90607915023486,277.42573772704384,276.06968159721356,276.7879115164591,276.0566584761306,276.46733809032054,278.20391898107374,276.6016441182722,276.3310108620217,277.3242583689155,277.36293473698925,275.7722207197763,276.134659700488,277.62915790823945,276.38464851261074,276.8689150530107,276.55942260508243,276.63389068787814,276.42657694884025,278.011702385989,275.75277065113266,277.7729734020541,276.5756220961388,276.5307807558315,277.23927299908513,276.91501116689545,277.48373916020404,276.16614573515636,276.8932840782278,277.31331801874865,276.32239857856115,275.79046622616045,276.22804007470216,276.34334898397395,276.5159235613342,277.72793138812335,276.7165316339832,276.03130211450656,276.3777843684252,276.55077885190434,277.80058174694943,277.60354031996997,277.1919871233695,277.1248863269776,276.6881463378997,277.22621418653205,277.5843027785684,278.7133210477415,277.75518287581167,276.6064912163152,276.9917379780452,276.9373718802734,279.0271040534561,277.5258844159271,277.2373135506061,276.76351538484926,278.0239612713053,277.1013014912898,278.5011570126463,277.3900299561069,277.5546985828543,278.0330114616062,277.79741148427905,277.60608570791584,277.73515093365984,277.30357643442477,276.5934340783734,277.13842132660005,277.84737727045854,277.0308078177998,276.8095229540191,277.477557902324,277.61717937735807,277.71412224083116,277.87036337411143,278.20789086349595,277.9291247948395,278.69613695389415,277.0914928577019,278.66118559253204,277.39011999515844,279.1124916920686,278.7350350608629,277.6230926070534,277.9263639218313,278.0951378146079,275.18337791404224,277.81116985619394,277.77733018630806,276.9752716241699,278.2608625141523,278.72953600559146,278.307476153017,276.76853015760685,278.0886685498695,279.79464818846685,278.27747386025914,280.2514649383185,277.6995899633497,279.5836541135702,277.54577272709184,277.7197894705179,278.2142867194111,280.1343181548617,278.27698473743396,277.8887050619863,278.3253306772609,278.88719551256077,278.45171016067906,278.1691642591517,277.94181457714296,277.9881027798815,277.4815536706404,280.14993125096726,277.53824722980636,278.866672307466,279.19486847942716,278.3415360577718,277.5596865155756,278.62493301941004,278.9543883714346,278.318375881072,276.860007174951,279.5958179588482,277.19697323630726,278.90531102026773,277.79001625033544,277.58133015181295,278.1018831999272,278.01301037850726,277.5139936614181,277.5310902984069,277.9468372359061,277.99398069913116,279.23378572763613,278.79356097769545,278.6959015251466,277.58497573673617,277.71129039611384
0,7,278.23800363189366,276.6516312488241,277.1128327656432,277.4244226563915,277.80980085381765,277.36222431600265,276.86666335611864,276.64147019250606,277.1573093166946,275.6156173178875,277.1539489981772,277.8183820323509,276.7086766003884,275.9868128118813,277.21464710012,276.7029334494013,277.3102720115329,276.79071420197903,278.5764872277087,276.42638100807267,277.45211313485333,276.1029444078869,277.37526883640203,275.977489331572,277.53360346492263,277.05320584431297,277.6782449351979,276.853893239204,276.620775557881,277.70213969571745,276.7643743463091,277.67828346290116,276.53088990157767,277.11805611776117,277.0854580720307,276.29206704056537,276.1290606698125,276.83160272063765,276.2033680716219,277.3050137870983,277.6028043865067,277.64298102633035,276.0809880204778,277.0658217173172,276.04661439440105,277.22746936962403,277.4398917963047,276.99514127920344,277.7140600116027,277.36074924004356,276.9727586691415,277.7891562900606,277.9941965290681,277.5288017366769,277.48684327746946,276.966049857341,277.41601772013786,278.8336284806241,277.6987247469307,277.7324215262243,276.38362800790173,277.60547713622645,277.677639035965,277.3291794055233,277.3964400114286,276.98791640140917,276.83555336491474,277.2913808291343,277.45427709033476,277.9590380356665,277.5657618682938,277.1213039673084,277.3494116334274,277.35316902551574,277.92159618565006,277.23493776557035,276.8899775491897,277.1127563009275,278.10660176150515,278.02758508322097,278.77195349458367,278.10806435168246,278.4118710910726,277.643929455249,278.46222125236113,277.49260541872394,278.0938239890462,277.5606236447141,277.2701318052113,277.6201599173748,278.02500352824495,275.81180585666095,277.6267776540616,277.6862059762967,276.7404400199291,278.75223603258377,278.05371252686655,277.4629003605066,277.96534324053107,278.0693318832364,278.17033729604105,278.2604241051443,278.8184010009766,277.9679442358124,279.3525677334901,277.4791335397624,277.3203836336893,277.3379520592184,279.263480915461,277.76773738501635,277.34146266920993,278.1117909946687,278.23391276187186,278.2615511397784,278.34048884068125,278.38492217540323,278.02065158684144,277.16828966610524,280.73885304444684,277.76778015095346,278.34113546866155,277.93356248865933,278.70567772303,277.76159503921787,279.00017698677857,278.0049633871723,277.9362634575406,277.75550200049486,279.22972438747036,277.7139122668336,278.91511562191783,277.8700356976319,278.1169480189356,278.3056037619735,277.8030927810223,278.1455376473116,277.9164255204393,279.10699285518956,277.1956185636665,279.4248060220475,278.15186556233556,278.3450552949093,277.1883833257234,277.6210501360037
0,8,277.0676910619799,276.71512028249725,277.510061318836,277.0676729590447,278.37177140257853,277.9810855227162,277.4701941909502,276.54083775356906,277.6128975823483,276.3180046634843,276.2947764068236,277.11136265085884,277.76633253630604,277.24767249004225,277.7412889657084,276.86561931271757,276.93439049026625,277.15678443832087,278.0586794582717,276.61460024461394,277.58914312161284,276.66791325696573,276.8369176752689,276.1061652087553,276.777611498374,276.61800157027994,276.7412686985595,277.10537639438473,277.1682928103019,277.81090811833144,277.0596055265405,277.5930127546928,276.66295988555845,276.97141909625304,277.15062064013154,276.5507986827507,276.28309249257154,276.67153384548163,276.68477323746,277.10624421575005,278.07882775622363,277.37336980592113,276.58178089915634,276.9704489838251,276.4755533616413,276.9428003757311,276.773237749689,277.22685346833936,277.939092027962,277.1699620715114,276.8503924626832,277.7696988365455,278.63449591392356,277.56020206361273,277.39899366708005,276.73887518433764,277.6968103326135,278.63262138030206,277.78149453537304,276.7816688761531,276.74546980994944,277.27202265837207,277.09315217589557,277.01321484645626,277.9454213947379,277.6862506716751,277.45719480234914,277.49749853296953,277.4071359338962,277.72479363210005,278.449885590965,277.4327978615238,277.2375059840504,277.2206584683196,278.45374901312533,277.02266022743635,277.67137742543025,276.94596785304617,277.5687972494096,277.7632634968054,277.9301511686137,277.40984108707573,278.6242912687089,276.7498626988516,277.8100306358578,277.7475688407214,277.62853972599993,277.80903334472964,277.2605941099719,277.23963489160826,278.47692544488643,275.9341820927217,277.9154573053994,277.76492111378104,276.4543665993452,278.17691317550583,278.05115092087027,277.9998473151581,276.96446947391235,278.05829298252945,278.2436991919679,277.9507513073385,279.28196497265634,277.9205135325767,278.2380307518399,277.67691590481985,278.15103108513756,277.01648864264666,278.9888049853923,278.2994130580557,278.4866762310416,279.4533282332005,278.7338705658775,278.4419016546612,278.13898911241114,278.10879996625073,278.1183105853021,277.47459128132147,279.8653228135093,277.5917131995394,278.68670855431935,278.8228693157763,278.6954953972446,278.0322065954765,277.8105851506649,278.3186610228924,277.72690479715436,277.53891565024463,278.6600035461467,276.81882920226394,278.2457106218322,277.82548282611356,277.84519718229797,278.2636665385591,277.73737395459017,277.9725625318521,277.0139859293366,278.64381971460614,277.6233156321762,279.22426393806813,277.92654897502257,278.7858247437973,277.3447327547094,277.94272902869704
