PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,1.0,2,1,0,1,0,1,0,0,2,0
1,0.006944444444444444,54,54,62,47,59,64,64,57,58,55
2,0.006944444444444444,61,61,45,65,61,53,47,56,47,60
3,0.006944444444444444,60,58,64,59,49,54,60,59,67,53
4,0.06666666666666667,4,4,0,4,6,4,3,1,2,3
5,0.06666666666666667,2,2,5,3,2,4,4,6,2,0
6,0.06666666666666667,5,4,4,3,4,4,3,3,3,4
7,0.03333333333333333,4,8,10,4,9,8,5,5,11,5
8,0.03333333333333333,3,4,7,4,5,5,7,7,5,12
9,0.03333333333333333,5,4,3,10,5,3,7,6,3,8
