PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,1.0,2,0,2,2,0,0,0,0,0,1
1,0.006944444444444444,54,57,57,51,48,60,59,51,66,49
2,0.006944444444444444,62,55,55,59,65,56,52,57,49,59
3,0.006944444444444444,57,55,58,66,57,57,59,62,57,59
4,0.06666666666666667,6,3,1,2,3,2,2,1,3,3
5,0.06666666666666667,2,3,2,3,4,1,1,2,2,5
6,0.06666666666666667,1,4,4,1,1,1,3,3,3,2
7,0.03333333333333333,4,11,6,6,13,11,6,11,8,7
8,0.03333333333333333,5,3,6,6,5,5,8,8,6,7
9,0.03333333333333333,7,9,9,4,4,7,10,5,6,8
