PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,NaN,0,0,0,0,0,0,1,0,0,0
1,0.006944444444444444,53,50,57,48,48,50,52,53,61,48
2,0.006944444444444444,53,60,56,64,56,57,49,59,55,62
3,0.006944444444444444,66,58,57,52,66,63,70,56,57,59
4,0.06666666666666667,3,2,1,4,4,7,4,4,3,4
5,0.06666666666666667,7,1,7,7,5,5,3,3,2,3
6,0.06666666666666667,4,3,4,1,3,3,4,2,3,4
7,0.03333333333333333,4,9,6,7,4,5,6,12,10,6
8,0.03333333333333333,7,8,7,7,8,5,3,2,4,8
9,0.03333333333333333,3,9,5,10,6,5,8,9,5,6
