PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,1.0,3,1,1,0,0,0,0,2,0,1
1,0.006944444444444444,56,45,52,60,61,54,58,57,51,51
2,0.006944444444444444,61,63,53,51,56,63,54,56,65,64
3,0.006944444444444444,56,59,65,62,57,55,61,60,63,58
4,0.06666666666666667,2,2,1,4,1,2,2,4,2,4
5,0.06666666666666667,1,2,2,7,4,3,3,2,1,2
6,0.06666666666666667,5,7,3,3,2,4,2,1,1,3
7,0.03333333333333333,7,4,7,3,11,7,8,5,8,11
8,0.03333333333333333,4,9,10,6,4,6,5,10,4,1
9,0.03333333333333333,5,8,6,4,4,6,7,3,5,5
