PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,1.0,1,1,1,1,1,1,0,1,1,1
1,0.006944444444444444,40,40,41,40,41,40,39,41,40,41
2,0.006944444444444444,38,37,37,40,38,38,37,39,38,37
3,0.006944444444444444,46,48,46,43,44,46,47,44,47,46
4,0.06666666666666667,11,12,12,12,13,13,12,13,12,11
5,0.06666666666666667,8,8,8,10,7,8,8,7,8,8
6,0.06666666666666667,9,7,8,10,9,8,9,8,9,8
7,0.03333333333333333,16,15,14,14,14,15,15,14,13,16
8,0.03333333333333333,17,17,16,17,18,17,18,18,17,17
9,0.03333333333333333,14,15,17,13,15,14,15,15,15,15
